title,address,floor,madori,fee /yen,management_fee /yen,deposit /yen,gratuity /yen,menseki /m2
ライオンズフォーシア神田須田町,東京都千代田区神田須田町２,7階,1LDK,190000,18000,190000,0,38.99
ライオンズフォーシア神田須田町,東京都千代田区神田須田町２,2階,1LDK,192000,18000,192000,0,38.99
ライオンズフォーシア神田須田町,東京都千代田区神田須田町２,3階,1LDK,194000,18000,194000,0,38.99
ライオンズフォーシア神田須田町,東京都千代田区神田須田町２,7階,1LDK,200000,18000,200000,0,38.99
ライオンズフォーシア神田須田町,東京都千代田区神田須田町２,4階,2LDK,220000,20000,220000,0,45.57
ライオンズフォーシア神田須田町,東京都千代田区神田須田町２,4階,2LDK,221000,20000,221000,0,45.57
ライオンズフォーシア神田須田町,東京都千代田区神田須田町２,7階,2LDK,225000,20000,225000,0,45.57
ライオンズフォーシア神田須田町,東京都千代田区神田須田町２,3階,2LDK,225000,20000,225000,0,45.57
ライオンズフォーシア神田須田町,東京都千代田区神田須田町２,8階,2LDK,230000,20000,230000,0,45.57
パークコート千代田富士見ザ タワー,東京都千代田区富士見２,15階,1LDK,294000,15000,294000,0,42.16
パークコート千代田富士見ザ タワー,東京都千代田区富士見２,11階,2LDK,365000,20000,365000,730000,55.97
パークコート千代田富士見ザ タワー,東京都千代田区富士見２,29階,3LDK,598000,0,1196000,598000,74.77
オープンレジデンシア千代田外神田,東京都千代田区外神田５,6階,2LDK,301000,0,602000,301000,56.03
オープンレジデンシア千代田外神田,東京都千代田区外神田５,2階,2SLDK,400000,0,800000,400000,90.86
東神田サマリヤマンション,東京都千代田区東神田３,2階,ワンルーム,63500,5500,0,0,21.0
東神田サマリヤマンション,東京都千代田区東神田３,5階,ワンルーム,72000,7350,0,0,20.79
東神田サマリヤマンション,東京都千代田区東神田３,6階,1K,72000,10000,72000,72000,21.15
東京メトロ半蔵門線 永田町駅 地下2地上24階建 築15年,東京都千代田区平河町２,14階,2LDK,1200000,30000,1200000,1200000,131.74
エルスタンザ神田須田町,東京都千代田区神田須田町１,4階,1DK,144000,10000,144000,0,29.02
エルスタンザ神田須田町,東京都千代田区神田須田町１,8階,2LDK,277000,13000,277000,0,54.42
エルスタンザ神田須田町,東京都千代田区神田須田町１,11階,2LDK,283000,13000,283000,0,54.42
スペーシア秋葉原,東京都千代田区外神田４,4階,1K,105000,15000,0,0,23.85
スペーシア秋葉原,東京都千代田区外神田４,6階,1K,107000,15000,0,0,23.85
スペーシア秋葉原,東京都千代田区外神田４,7階,1K,108000,15000,0,0,23.85
スペーシア秋葉原,東京都千代田区外神田４,8階,1K,109000,15000,0,0,23.85
スペーシア秋葉原,東京都千代田区外神田４,6階,1K,110000,15000,0,0,23.85
スペーシア秋葉原,東京都千代田区外神田４,9階,1K,110000,15000,0,0,23.85
スペーシア秋葉原,東京都千代田区外神田４,7階,1K,111000,15000,0,0,23.85
スペーシア秋葉原,東京都千代田区外神田４,10階,1K,111000,15000,0,0,23.85
スペーシア秋葉原,東京都千代田区外神田４,8階,1K,112000,15000,0,0,23.85
スペーシア秋葉原,東京都千代田区外神田４,11階,1K,115000,15000,0,0,23.85
スペーシア秋葉原,東京都千代田区外神田４,12階,1K,116000,15000,0,0,23.85
スペーシア秋葉原,東京都千代田区外神田４,8階,ワンルーム,125000,15000,0,0,26.82
スペーシア秋葉原,東京都千代田区外神田４,9階,1K,126000,15000,0,0,26.82
スペーシア秋葉原,東京都千代田区外神田４,10階,1K,127000,15000,0,0,26.82
スペーシア秋葉原,東京都千代田区外神田４,3階,1K,130000,15000,0,0,29.29
スペーシア秋葉原,東京都千代田区外神田４,4階,1K,131000,15000,0,0,29.21
スペーシア秋葉原,東京都千代田区外神田４,6階,1K,133000,15000,0,0,29.29
スペーシア秋葉原,東京都千代田区外神田４,10階,1K,135000,15000,0,0,29.21
スペーシア秋葉原,東京都千代田区外神田４,10階,1K,137000,15000,0,0,29.21
スペーシア秋葉原,東京都千代田区外神田４,13階,2LDK,275000,15000,0,0,51.74
ザ・パークハウス麹町テラス,東京都千代田区麹町３,7階,2LDK,350000,50000,700000,350000,55.68
平河町森タワーレジデンス,東京都千代田区平河町２,14階,1LDK,500000,30000,1000000,0,77.68
平河町森タワーレジデンス,東京都千代田区平河町２,16階,1LDK,580000,0,2320000,0,77.84
平河町森タワーレジデンス,東京都千代田区平河町２,22階,2LDK,1600000,0,3200000,1600000,157.19
プレミエール一番町,東京都千代田区一番町,10階,2LDK,475000,20000,475000,0,81.51
シャーメゾンステージ秋葉原,東京都千代田区神田佐久間河岸,12階,2K,152000,7000,152000,152000,40.42
PARK LUXE神田　【パークリュクス神田】,東京都千代田区神田多町２,6階,1SLDK,185000,15000,185000,185000,35.43
PARK LUXE神田　【パークリュクス神田】,東京都千代田区神田多町２,10階,3SLDK,379000,20000,0,379000,61.89
東京メトロ半蔵門線 半蔵門駅 13階建 築8年,東京都千代田区隼町,2階,1DK,216000,10500,0,216000,33.95
東京メトロ半蔵門線 半蔵門駅 13階建 築8年,東京都千代田区隼町,3階,1DK,220000,10500,0,220000,33.95
東京メトロ半蔵門線 半蔵門駅 13階建 築8年,東京都千代田区隼町,8階,1SLDK,273000,10000,273000,0,54.15
東京メトロ半蔵門線 半蔵門駅 13階建 築8年,東京都千代田区隼町,11階,2LDK,280000,10000,280000,280000,54.15
東京メトロ半蔵門線 半蔵門駅 13階建 築8年,東京都千代田区隼町,2階,1LDK,313000,10500,0,313000,54.15
東京メトロ半蔵門線 半蔵門駅 13階建 築8年,東京都千代田区隼町,5階,1LDK,320000,10500,0,320000,54.15
東京メトロ半蔵門線 半蔵門駅 13階建 築8年,東京都千代田区隼町,6階,1SLDK,321000,10500,0,321000,54.15
レジディア神田岩本町II,東京都千代田区岩本町２,11階,2K,155000,10000,155000,155000,37.26
ＺＯＯＭ秋葉原,東京都千代田区神田佐久間町３,9階,1K,137000,12000,137000,0,31.09
ＺＯＯＭ秋葉原,東京都千代田区神田佐久間町３,8階,1LDK,182000,25000,0,0,41.64
ＺＯＯＭ秋葉原,東京都千代田区神田佐久間町３,12階,1LDK,190000,25000,0,0,41.64
クラッシィハウス神田美土代町,東京都千代田区内神田１,7階,1LDK,240000,15000,240000,240000,48.12
クラッシィハウス神田美土代町,東京都千代田区内神田１,13階,1LDK,240000,20000,240000,240000,48.23
ＪＲ山手線 神田駅 9階建 築7年,東京都千代田区岩本町２,5階,1LDK,156000,10000,156000,156000,42.04
ＪＲ山手線 神田駅 9階建 築7年,東京都千代田区岩本町２,7階,1LDK,164000,10000,164000,164000,47.17
レーヴ半蔵門,東京都千代田区隼町,2階,1DK,216000,11000,0,216000,33.95
レーヴ半蔵門,東京都千代田区隼町,3階,1DK,220000,11000,0,220000,33.95
レーヴ半蔵門,東京都千代田区隼町,11階,1SLDK,280000,10000,280000,280000,54.15
レーヴ半蔵門,東京都千代田区隼町,2階,1SLDK,313000,10500,0,313000,54.15
レーヴ半蔵門,東京都千代田区隼町,2階,1SLDK,313000,11000,0,313000,54.15
レーヴ半蔵門,東京都千代田区隼町,5階,1SLDK,320000,10500,0,320000,54.15
レーヴ半蔵門,東京都千代田区隼町,5階,1SLDK,320000,11000,0,320000,54.15
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,2階,ワンルーム,133000,9000,133000,133000,26.86
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,2階,ワンルーム,133000,10000,133000,133000,26.09
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,3階,ワンルーム,134000,9000,134000,134000,26.86
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,3階,ワンルーム,134000,10000,0,134000,26.86
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,4階,ワンルーム,135000,9000,135000,135000,26.86
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,4階,ワンルーム,135000,10000,0,135000,26.86
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,5階,ワンルーム,136000,10000,0,136000,26.86
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,6階,ワンルーム,137000,9000,137000,137000,26.86
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,7階,ワンルーム,138000,9000,138000,138000,26.86
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,6階,ワンルーム,137000,10000,0,137000,26.86
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,8階,ワンルーム,139000,9000,139000,139000,26.86
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,2階,1K,143000,10000,143000,143000,30.02
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,4階,1K,146000,9000,146000,146000,30.23
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,6階,1K,148000,9000,148000,148000,30.23
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,7階,1K,149000,9000,149000,149000,30.23
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,8階,1K,150000,10000,150000,150000,30.2
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,4階,1LDK,196000,11000,196000,196000,40.0
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,6階,1LDK,198000,11000,198000,198000,40.0
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,9階,1LDK,197000,12000,197000,197000,38.63
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,10階,1LDK,198000,11000,198000,198000,38.63
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,7階,1LDK,199000,11000,199000,199000,40.0
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,10階,1LDK,198000,12000,0,198000,38.63
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,8階,1LDK,200000,11000,200000,200000,40.0
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,8階,2LDK,286000,14000,286000,286000,59.73
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,9階,2LDK,297000,15000,297000,297000,59.75
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,10階,2LDK,298000,15000,298000,298000,59.73
ＪＲ山手線 神田駅 12階建 新築,東京都千代田区内神田２,12階,2LDK,301000,15000,301000,301000,59.73
GLACIER神保町,東京都千代田区神田神保町１,3階,1K,142000,10000,142000,0,25.1
GLACIER神保町,東京都千代田区神田神保町１,4階,1K,143000,10000,143000,0,25.1
GLACIER神保町,東京都千代田区神田神保町１,4階,1DK,144000,10000,144000,0,25.06
